OBJECTID,Easting,Northing,Elevation,Bathydepth,Bathymeters,Included,Predicted,Error,absERROR
1,183597.538,562208.129,-12.291,-1.7177,-5.63543016,Yes,-12.1187194920694,0.172280507930592,0.172280507930592
2,183590.195,562208.074,-12.594,-2.0207,-6.62951256,Yes,-12.553601395508,0.040398604492005,0.040398604492005
3,183582.854,562207.837,-12.827,-2.2537,-7.39393896,Yes,-12.8877239348303,-0.060723934830323,0.060723934830323
4,183575.65,562207.653,-13.567,-2.9937,-9.82173096,Yes,-13.1999815220426,0.367018477957444,0.367018477957444
5,183568.238,562207.251,-13.167,-2.5937,-8.50941096,Yes,-13.2004338528831,-0.033433852883098,0.033433852883098
6,183558.508,562206.843,-13.299,-2.7257,-8.94247656,Yes,-13.1966918516276,0.102308148372396,0.102308148372396
7,183551.241,562206.855,-13.323,-2.7497,-9.02121576,Yes,-13.258672170484,0.064327829515962,0.064327829515962
8,183543.984,562206.56,-13.434,-2.8607,-9.38538456,Yes,-13.3257092532351,0.10829074676489,0.10829074676489
9,183536.636,562206.434,-13.61,-3.0367,-9.96280536,Yes,-13.3773871715857,0.232612828414336,0.232612828414336
10,183531.757,562206.177,-13.641,-3.0677,-10.06451016,Yes,-13.4362913412874,0.204708658712635,0.204708658712635
11,183563.462,562206.924,-13.208,-2.6347,-8.64392376,Yes,-13.2033707573906,0.004629242609385,0.004629242609385
12,183526.938,562206.067,-13.608,-3.0347,-9.95624376,Yes,-13.4842997598813,0.123700240118652,0.123700240118652
13,183519.703,562206.309,-13.763,-3.1897,-10.46476776,Yes,-13.5150353147032,0.247964685296807,0.247964685296807
14,183512.442,562205.698,-13.815,-3.2417,-10.63536936,Yes,-13.5400893130638,0.274910686936213,0.274910686936213
15,183505.133,562205.393,-13.706,-3.1327,-10.27776216,Yes,-13.3757283650222,0.330271634977802,0.330271634977802
16,183497.858,562205.195,-13.13,-2.5567,-8.38802136,Yes,-12.9235066945682,0.206493305431826,0.206493305431826
17,183490.578,562204.807,-12.647,-2.0737,-6.80339496,Yes,-12.5342489002825,0.112751099717537,0.112751099717537
18,183484.948,562204.737,-12.073,-1.4997,-4.92021576,Yes,-12.0414865229637,0.03151347703632,0.03151347703632
19,183486.693,562217.137,-12.28,-1.7067,-5.59934136,Yes,-12.2896860535834,-0.009686053583371,0.009686053583371
20,183493.865,562217.277,-13.281,-2.7077,-8.88342216,Yes,-13.1110279326411,0.169972067358852,0.169972067358852
21,183501.271,562217.15,-13.826,-3.2527,-10.67145816,Yes,-13.6832950264044,0.142704973595645,0.142704973595645
22,183508.54,562217.607,-13.945,-3.3717,-11.06187336,Yes,-13.7708619452265,0.174138054773524,0.174138054773524
23,183515.832,562217.477,-13.925,-3.3517,-10.99625736,Yes,-13.7570621416126,0.167937858387443,0.167937858387443
24,183523.209,562217.075,-14.147,-3.5737,-11.72459496,Yes,-13.7358462168398,0.411153783160247,0.411153783160247
25,183530.3,562217.346,-14.169,-3.5957,-11.79677256,Yes,-13.7128329592642,0.456167040735775,0.456167040735775
26,183537.597,562217.225,-14.027,-3.4537,-11.33089896,Yes,-13.677809648301,0.349190351699015,0.349190351699015
27,183544.919,562216.773,-13.822,-3.2487,-10.65833496,Yes,-13.6327584213876,0.189241578612393,0.189241578612393
28,183552.21,562217.336,-13.691,-3.1177,-10.22855016,Yes,-13.5787767419278,0.112223258072191,0.112223258072191
